Title,Abstract,Discipline,Methodology
Comprehensive evaluation measures of nonlinear estimation algorithm performance,"Although many scholars say that their algorithms are better than others in the state estimation problem, only a fewer convincing algorithms were applied to engineering practices. The reason is that their algorithms outperform others only in some aspects such as the estimation accuracy or the computation load. To solve the problem of performance evaluation of state estimation algorithms, in this paper, the comprehensive evaluation measures (CEM) for evaluating the nonlinear estimation algorithm (NEA) is proposed, which can comprehensively reflect the performance of the NEAs. First, we introduce three types of the NEAs. Second, the CEM combining the flatness, estimation accuracy and computation time of the NEAs, is designed to evaluate the above NEAs. Finally, the superiority of the CEM is verified by a numerical example, which helps decision makers of nonlinear estimation algorithms theoretically and technically.",CS,Quantitative
Research on human resource management performance evaluation based on BP algorithm,"Abstract With economic globalisation and in the face of increasingly fierce market competition, enterprises must establish an evaluation mechanism that can promote the company’s development and motivate employees to improve performance in order to achieve the company’s strategic goals. In view of the characteristics and problems of enterprise performance appraisal, a performance evaluation method based on artificial neural network (ANN) technology is proposed. This study uses BP algorithm to comprehensively evaluate the performance of enterprises and construct an evaluation network. According to the statistics of 75 power companies in the province from 2018 to 2021, the training was carried out in batches, and the 10-fold cross-validation method was used to find the smallest optimisation value of the error term (average overall relative error) of the test set. The training set is set as 70% and the test set as 30%, and the termination condition is used to end the training process when the training error is &lt;0.0001. This proves that the use of BP neural network for performance evaluation can effectively avoid the influence of subjective factors on the evaluation results, so as to establish a more objective comprehensive evaluation system.",CS,Quantitative
Numerical Evaluation of the MU-MIMO Beamforming Performance with User Selection Algorithm,This paper presents the numerical evaluation of the ZF beamforming algorithm using the user selection in the multiuser multiantenna (MU-MIMO) downlink system. Two user selection algorithm – semiorthogonal user selection and greedy user selection are numerically evaluated based on the open source MIMO channel model. The sum rate performance depending on number of users are presented. The arising inter user correlation degrades the sum rate (spectral efficiency) performance of multiuser MIMO system especially in scenarios where the number of users is larger than the number of antennas at the BS. The selection of users is based on the orthogonality of the channels among selected users. For MIMO channel simulation the QUADRIGA channel model reflecting the real propagation conditions is used. The obtained performance of MU-MIMO ZF precoding in spatially correlated channel are compared based on the empirical cumulative density function of the sum rate of multiple users. Numerical results show that the ZF precoder using user selection (G ZF) outperforms the ZF precoder with random user selection in spectral efficiency. The greedy user selection in spatially correlated channel has advantage to semi-orthogonal user selection. It isobserved that as the increasing the number of served users used for selection the greedy user selection gives better performance than semi-orthogonal algorithm.,CS,Quantitative
Performance evaluation of low resolution lip recognition algorithm,"Lip print recognition technology originated in the field of forensic medicine, and convolutional neural network has made breakthrough achievements in the field of pattern recognition and machine vision. Convolutional neural network (CNN) algorithm is rarely used in lip pattern recognition. Further exploration and research on the network model suitable for lip pattern recognition. Lip print recognition algorithm based on depth convolution neural network aims to solve the problems of complex image preprocessing, difficult feature extraction and low recognition efficiency in traditional lip print recognition algorithms. It includes collecting lip print images to establish data sets, selecting different CNN models to conduct performance evaluation experiments on low resolution lip print data sets, and analyzing the experimental results with model evaluation indicators.",CS,Mixed
Credit Fraud Recognition Based on Performance Evaluation of Deep Learning Algorithm,"Over time, the growth of credit cards and the financial data need credit models to support banks in making financial decisions. So, to avoid fraud in internet transactions which increased with the growth of technology it is crucial to develop an efficient fraud detection system. Deep Learning techniques are superior to other Machine Learning techniques in predicting the customer behavior of credit cards depending on the missed payments probability of customers. The BiLSTM model proposed to train on Taiwanese non-transactional dataset for bank credit cards to decrease the losses of banks. The Bidirectional LSTM reached 98% accuracy in fraud credit detection compared with other Machine Learning techniques.",CS,Quantitative
Strategic Financial Performance Evaluation of the Iranian automotive industry Using Imperialist competitive Algorithm,"Purpose. This paper evaluates strategic financial performance of 10 Iranian stock exchange listed automotive companies over the period 2005-2009 at the hand of value-creating performance indicators and the Free Cash Flow derived value indicators.Design. To this effect, profiting from the Imperialist Competitive Algorithm (ICA), the understudy companies were assigned to three clusters in terms of debt structure, firm size, and growth opportunitiesFindings. The results, in general, indicate a significant correlation between value-based indicators Economic Value Added (EVA) and True Value Added (TVA) and the FCF-derived indicators Created Value from Free Cash Flow to Firm (CVFCFF) and Created Value from Free Cash Flow to Equity (CVFCFE), and between Market Value Added (MVA) and CVFCFF (one of the two FCF-derived indicators), while, according to the results, there is no significant correlation between the value-driven performance indicators Refined Economic Value Added (REVA) and Equity Economic Value Added (EEVA) and either of the FCF-derived indicators CVFCFF and CVFCFE.Originality. Present Paper, by company clustering in ICA environment, the companies are clustered based on their close similarity in all three criteria and subsequently for examination of each strategic performance indicator were subjected to correlation and Fisher (F) tests.",IS,Quantitative
Market Network Marketing Performance Evaluation in a Smart City Based on Fuzzy Algorithm,"ABSTRACT In order to overcome the problems of long time-consuming evaluation results generation processes, low accuracy of evaluation results, and poor self-adaptability existing in traditional market network marketing performance evaluation models, this study designed a market network marketing performance evaluation model based on fuzzy algorithms. First, complete the design of the overall deployment architecture of the model by designing the terminal layer, server layer, and data layer. Among them, the work efficiency of the model is improved by setting a web server. Then, based on the analysis and evaluation principles, four first-level evaluation indicators and 18 second-level indicators are constructed, and then the evaluation of market network marketing performance is completed by designing fuzzy rules and the operation process of fuzzy algorithms, and combining the index weights. Experimental verification shows that the generation process of the evaluation results of this model is less time-consuming, the evaluation results are highly accurate, and the adaptive ability is strong, which proves that it has achieved the design expectations.",CS,Quantitative
Theory building for empirical software engineering in qualitative research: Operationalization,"Context: This work is part of a research project whose ultimate goal is to systematize theory building in qualitative research in the field of software engineering. The proposed methodology involves four phases: conceptualization, operationalization, testing, and application. In previous work, we performed the conceptualization of a theory that investigates the structure of IT departments and teams when software-intensive organizations adopt a culture called DevOps. Objective: This paper presents a set of procedures to systematize the operationalization phase in theory building and their application in the context of DevOps team structures. Method: We operationalize the concepts and propositions that make up our theory to generate constructs and empirically testable hypotheses. Instead of using causal relations to operationalize the propositions, we adopt logical implication, which avoids the problems associated with causal reasoning. Strategies are proposed to ensure that the resulting theory aligns with the criterion of parsimony. Results: The operationalization phase is described from three perspectives: specification, implementation, and practical application. First, the operationalization process is formally defined. Second, a set of procedures for operating both concepts and propositions is described. Finally, the usefulness of the proposed procedures is demonstrated in a case study. Conclusions: This paper is a pioneering contribution in offering comprehensive guidelines for theory operationalization using logical implication. By following established procedures and using concrete examples, researchers can better ensure the success of their theory-building efforts through careful operationalization.",CS,Qualitative
Evaluation Algorithm of TV Program Host Performance Based on Emotion Recognition,"With the rapid development of information technology and system norms and the incongruity of personnel training speed, the development of news media reports has caused a large number of negative effects. From the current situation of the development of news media reports, due to the lack of perfect management, the difference in media literacy between users and enterprises, entertainment to death, rampant consumer culture, and many other factors, the network media reports are chaotic. In the proposed model Fuzzy Fredholm Integral Market Efficiency (FFI-ME) for the media coverage. With the FFI-ME model, the information technology computes the news media data for the estimation of the coverage to achieve market efficiency. The FFI-ME model uses the Fredholm Integral model to compute the market efficiency for the media data in China. The FFI-ME model computes the news data in China and clusters the data for the classification and detection of the instances in the equation. Through the Integral Fredholm model, the features of the news are estimated to compute the media coverage and efficiency of the news media data. The model uses the Deep learning model for the classification of the data instance in the media data. The simulation analysis expressed that the proposed FFI-ME model achieves a higher classification data accuracy of the 98%.",CS,Quantitative
Performance evaluation of M-ary algorithm using reprogrammable hardware,"Se han encontrado diversas formas de realizar cifrado de datos, y una de las funciones involucradas en algoritmos estándar como el RSA es la exponencial modular. Básicamente, el algoritmo RSA utiliza algunas propiedades de la aritmética modular para cifrar y descifrar textos planos, con cierta dependencia en la longitud del texto. El crecimiento en la capacidad de cómputo ha creado la necesidad de utilizar sistemas robustos que puedan realizar cálculos con números significativamente grandes, y la formulación de procedimientos enfocados en mejorar la velocidad para lograrlo. Uno de éstos es el algoritmo M-ary para la ejecución de la función exponencial modular. Este artículo describe una implementación de este algoritmo en hardware reprogramable (FPGA) para evaluar su desempeño.La primera sección introduce el algoritmo M-ary. La segunda, usa descripción en bloques para comprender la implementación. La tercera, muestra los resultados en diagramas de tiempo, y finalmente, la última sección expone conclusiones.",CS,Quantitative
Application performance pitfalls and TCP's Nagle algorithm,"Performance improvements to networked applications can have unintended consequences. In a study of the performance of the Network News Transport Protocol (NNTP), the initial results suggested it would be useful to disable TCP's Nagle algorithm for this application. Doing so significantly improved latencies. However, closer observation revealed that with the Nagle algorithm disabled, the application was transmitting an order of magnitude more packets. We found that proper application buffer management significantly improves performance, but that the Nagle algorithm still slightly increases mean latency. We suggest that modifying the Nagle algorithm would eliminate this cost.",CS,Quantitative
Evaluation of corporate financial performance based on bionic algorithm and biomechanical analysis,"The evaluation of corporate financial performance plays a critical role in driving enterprise transformation and fostering industrial development. To enhance the accuracy of financial performance evaluation, this study integrates knowledge from biomechanics and bioinformatics, exploring the application of a bio-inspired immune algorithm-optimized convolutional neural network (CNN) in financial performance evaluation. A biomechanics-based model is constructed using CNN to simulate the “mechanical response” of financial performance evaluation. By simulating the structure of biological visual systems, CNNs can effectively extract local features from input data, enabling efficient classification and recognition. During the optimization process, the biological immune algorithm adjusted hyperparameters such as the learning rate and kernel size through mechanisms of selection, reproduction, and mutation. The application of biologically inspired algorithms in deep learning effectively enhanced the model’s adaptability and robustness, providing new ideas and methods for financial performance evaluation and validating the effectiveness of bionic algorithms in complex tasks. In the experiments, a GRA-Entropy-SOM-CNN model was constructed, with initial test results showing an accuracy of 97.18% in the task. However, by introducing the biological immune algorithm to optimize the CNN, the final model achieved an accuracy of 98.5% on the test set, demonstrating significant performance improvement.",CS,Quantitative
Comparison and Performance Evaluation of Boundary Fill and Flood Fill Algorithm,"In computer graphics, there are many polygon filling algorithms available like as inside and outside test, scan line method, boundary fill, flood fill, edge fill and fence fill algorithm. In this paper we focus on the flood fill and boundary fill algorithms for both four connected as well as eight connected pixels. This research paper shows the comparison and performance evaluation of boundary fill and flood fill algorithms with consideration of running time in C-language. And also shows the how stack affects the performance of the system due to overflow of buffer later on JAVA implementation with queue improves the system performance for large polygon. It also shows the literature review of various papers use the fill algorithm on different applications, some proposed the new and enhanced polygon fill algorithms.",CS,Quantitative
Study on the Algorithm for Evaluation of Converged Network Performance Based on QoE,"In converged networking, the evaluation of network performance is completed by analyzing the key performance indexes which can reflect the states of network from the point of user view and integrated results should be evaluated by user or quality of experiences. This paper proposes the algorithm for evaluation of network performance based on the fuzzy analytic hierarchy process that utilizes strategy data and key performance indexes to calculate the integrated results of evaluation. The result provides the necessary reference for the real-time monitoring of network.",CS,Quantitative
Research and performance analysis of random forest-based feature selection algorithm in sports effectiveness evaluation,"AbstractThe rapid progress in fields such as data mining and machine learning, as well as the explosive growth of sports big data, have posed new challenges to the research of sports big data. Most of the available sports data mining techniques concentrates on extracting and constructing effective features for basic sports data, which cannot be achieved simply by using data statistics. Especially in the targeted mining of sports data, traditional mining techniques still have shortcomings such as low classification accuracy and insufficient refinement. In order to solve the problem of low accuracy in traditional mining methods, the study combines the random forest algorithm with the artificial raindrop algorithm, and adopts a sports data mining method based on feature selection to achieve effective analysis of sports big data. This study is based on the evaluation method of motion effects using random forests, and uses feature extraction algorithms to study the motion effect impacts. It uses the information gain index to rank the importance of features and accurately gain the degree of influence of exercise on various indicators of the human body. Through simulation verification, the algorithm proposed by the research institute performs the best in accuracy and FI scores on the training and testing sets, with accuracies of 0.849 ± 0.021 and 0.819 ± 0.022, respectively, and F1 scores of 0.837 ± 0.020 and 0.864 ± 0.021, respectively. This indicates that the algorithm proposed by the research institute has high classification accuracy and performance proves that the Random Forest-based feature selection algorithm established in this study is superior to the existing traditional feature extraction and extraction methods in terms of both performance and accuracy. The proposal of this data analysis method has achieved accurate and efficient utilization of sports big data, which is of great significance for the development of the sports education industry.",CS,Quantitative
Performance evaluation of RUNT algorithm,"This paper evaluates the performance of Reduction to Uniprocessor Transformation (RUNT) with Voltage and Frequency Scaling, called Static RUNT (S-RUNT) and Dynamic RUNT (D-RUNT), respectively. Simulation results show that how to assign tasks to servers in RUNT influences energy consumption and the worst-fit heuristic is the best in many cases. In addition, the idle task assignment policy saves more energy consumption in D-RUNT and D-RUNT outperforms S-RUNT if the actual case execution time of each task is shorter than its worst case execution time.",CS,Quantitative
Performance Evaluation Model of Corporate Financial Sustainability based on Swarm Algorithm,"In traditional financial performance evaluation models, parameter settings are often too large or too small, resulting in significant model errors. To address this issue, an improved artificial bee colony algorithm was proposed and applied to optimize the parameters of performance evaluation models. This method first constructs a corporate financial performance evaluation system, and then improves the artificial bee colony algorithm with differential evolution algorithm to optimize the parameters of the long short-term memory network, in order to improve the accuracy of the long short-term memory network in corporate financial performance evaluation. The results showed that the improvement of the ABC algorithm was effective. The improved ABC algorithm converged on the Ackley function in the 800th iteration, and the ABC algorithm converged in the 1400th iteration. The evaluation error of the proposed method is the lowest, with the algorithm having the lowest four errors of -0.0121, 0.0453, 0.0683, and 0.0047, respectively. Among the other algorithms, the comprehensive error of the financial performance evaluation model based on Long Short Term Memory (LSTM) network is relatively low, but still lower than the algorithm proposed in the study. The research proposes a long short-term memory network optimized based on improved artificial bee colony algorithm, which can accurately evaluate the financial performance of enterprises, help them review their own development level, and clarify their future development direction.",CS,Quantitative
E-COMMERCE INFORMATION SYSTEM USING TECHNOLOGY ACCEPTANCE MODEL APPROACH,"E-commerce websites are one of the most accessed in Indonesia during the covid-19 pandemic. In research conducted for clothing product brands from PT. Mong Kreasi Indonesia, the problem that occurs is the company has not made full use of the information system. The company only uses media social like Instagram and WhatsApp for sales and communication order. Processing and recording of data and transactions are also still manually. The purpose of this research is to design an e-commerce sales information system, that is useful for solving existing problems. To measure the achievement of the designed system, a questionnaire was distributed to the respondents. Total of 70 questionnaires were answered and then tested using the Technology Acceptance Model method using the SMART PLS application. The results is variable Attention to Use on Behavioral Intention to Use has an influence level of 5.063, Perceived Ease of Use on Attention to Use has an influence level of 2.569, Perceived Usefulness on Attention to Use has an influence level of 3.382, and Perceived Usefulness on Behavioral Intention to Use has an influence level of 2.352. Each value is above 1.996, this means each variable has a positive and significant effect in benefits, easy to use, gives satisfaction to users and users has the intention to recommend this system to another.",IS,Quantitative
An algorithm for approximate counting using limited memory resources,"This paper describes a randomized algorithm for approximate counting that preserves the same modest memory requirements of log(log n) bits per counter as the approximate counting algorithm introduced in the seminal paper of R. Morris (1978), and in addition, is characterized by (i) lower expected number of memory accesses and (ii) lower standard error on more than 99 percent of its counting range. An exact analysis of the relevant statistical properties of the algorithm is carried out. Performance evaluation via simulations is also provided to validate the presented theory. Given its properties, the presented algorithm is suitable as a basic building block of data streaming applications having a large number of simultaneous counters and/or operating at very high speeds. As such, it is applicable to a wide range of measurement and monitoring operations, including performance monitoring of communication hardware, measurements for optimization in large database systems, and gathering statistics for data compression.",CS,Quantitative
"Performance evaluation of black hole algorithm, gravitational search algorithm and particle swarm optimization","Particle Swarm Optimization (PSO) and Gravitational Search Algorithm are a well known population-based heuristic optimization techniques. PSO is inspired from a motion flock of birds searching for a food. In PSO, a bird adjusts its position according to its own ‘‘experience’’ as well as the experience of other birds. Tracking and memorizing the best position encountered build bird’s experience which will leads to optimal solution. GSA is based on the Newtonian gravity and motion laws between several masses. In GSA, the heaviest mass presents an optimum solution in the search space. Other agents inside the population are attracted to heaviest mass and will finally converge to produce best solution. Black Hole Algorithm (BH) is one of the optimization technique recently proposed for data clustering problem. BH algorithm is inspired by the natural universe phenomenon called ""black hole”. In BH algorithm, the best solution is selected to be the black hole and the rest of candidates which are called stars will be drawn towards the black hole. In this paper, performance of BH algorithm will be analyzed and reviewed for continuous search space using CEC2014 benchmark dataset against Gravitational Search Algorithm (GSA) and Particle Swarm Optimization (PSO). CEC2014 benchmark dataset contains 4 unimodal, 7 multimodal and 6 hybrid functions. Several common parameters has been chosen to make an equal comparison between these algorithm such as size of population is 30, 1000 iteration, 30 dimension and 30 times of experiment.",CS,Quantitative
Performance Evaluation of Machine Learning Algorithm in Various Datasets,"Machine learning is one of the fast-growing areas of computer science, with far-reaching applications. There are several applications for machine learning. The most significant of which is supervised learning. Supervised learning is common in classification problems. In this study, frequently used twelve machine learning algorithms are considered: NB, LDA, LR, ANN, SVM, K-NN, HT, DT, C4.5, CART, RF and BB. We apply these algorithms on seven datasets. The main goal of this study was to evaluate the performance of the machine learning algorithms on both binary and multiple classification problems using a variety of performance metrics: accuracy, kappa statistic, precision, recall, specificity, F-measure, MAE, RMSE and MCC. Here, we found that RF algorithm proved to have the best performance in three out of seven datasets. But the other four algorithms: NN, NB, BB and LR also performed well.",CS,Quantitative
Performance evaluation of proposed load balancing algorithm with unstable concurrent programs,"&lt;span&gt;IoT is the succeeding cohort of the digital computing environment. A swift progression in the IoT deployment and its applications are on the rise. Improving load balancing mechanisms induces healthier performance of the internet based computing as higher number of users can be comfortable. Implementing full services for tasks with unstable concurrency is an uphill process. One of the encounters allied with this administration is the task partition among the applications, regularly referred as concurrent programs. Through load balancing not only resources are equally utilized but also concurrent job’s response time can be promoted. Therefore, in this paper the widely used load balancing algorithms are investigated and yet the proposed algorithm is introduced. Simulation is employed in order to compare the performance metrics such as mean queue length, utilization and throughput between the recommended and existing algorithms. The proposed algorithm confirms the load balancing and outperforms when processing unstable concurrent programs.&lt;/span&gt;",IT,Quantitative
Distribution of Consensus in a Broadcasting-based Consensus-forming Algorithm,"The consensus achieved in the consensus-forming algorithm is not generally a constant but rather a random variable, even if the initial opinions are the same. In the present paper, we investigate the statistical properties of the consensus in a broadcasting-based consensus-forming algorithm. We focus on two extreme cases: consensus forming by two agents and consensus forming by an infinite number of agents. In the two-agent case, we derive several properties of the distribution function of the consensus. In the infinite-numberof- agents case, we show that if the initial opinions follow a stable distribution, then the consensus also follows a stable distribution. In addition, we derive a closed-form expression of the probability density function of the consensus when the initial opinions follow a Gaussian distribution, a Cauchy distribution, or a L´evy distribution.",CS,Quantitative
Performance Evaluation of Lane Detection and Tracking Algorithm Based on Learning-Based Approach for Autonomous Vehicle,"Disruptive technology, especially autonomous vehicles, is predicted to provide higher safety and reduce road traffic emissions. Lane detection and tracking are critical building blocks for developing autonomous or intelligent vehicles. This study presents a lane detecting algorithm for autonomous vehicles on different road pavements (structured and unstructured roads) to overcome challenges such as the low detection accuracy of lane detection and tracking. First, datasets for performance evaluation were created using an interpolation method. Second, a learning-based approach was used to create an algorithm using the steering angle, yaw angle, and sideslip angle as inputs for the adaptive controller. Finally, simulation tests for the lane recognition method were carried out by utilising a road driving video in Melbourne, Australia, and the BDD100K dataset created by the Berkeley DeepDrive Industrial Consortium. The mean detection accuracy ranges from 97% to 99%, and the detection time ranges from 20 to 22 ms under various road conditions with our proposed algorithm. This lane detection algorithm outperformed conventional techniques in terms of accuracy and processing time, as well as efficiency in lane detection and overcoming road interferences. The proposed algorithm will contribute to advancing the lane detection and tracking of intelligent-vehicle driving assistance and help further improve intelligent vehicle driving safety.",CS,Mixed
Image Fusion Algorithm Based on Contrast Pyramid and its Performance Evaluation,"Contrast pyramid algorithm is put forward in this paper. The human visual system is sensitive to contrast information of image, so contrast pyramid algorithm would outstanding the contrast of image. The algorithm consists of creation process of Gauss Pyramid, the process of creating contrast Pyramid and reconstruction process of clear image. Simulation by MATLAB was completed in multi-focus image, multi-modality image and color image. Objective evaluation index such as mean, standard deviation, entropy and average gradient was calculated Simulation results and index show that the contrast pyramid algorithm has advantage of projecting the contrast of image, especially in color image fusion.",CS,Quantitative
